t,3xMe,3xVr,3xMx,3xMi,3xUM,3xLM,3yMe,3yVr,3yMx,3yMn,3yUM,3yLM,3zMe,3zVr,3zMx,3zMi,3zUM,3zLM,3dxMe,3dxVr,3dxMx,3dxMi,3dxUM,3dxLM,3dyMe,3dyVr,3dyMx,3dyMn,3dyUM,3dyLM,3dzMe,3dzVr,3dzMx,3dzMi,3dzUM,3dzLM
1493735879984.0,0.06310999999999999,0.0020238889,0.1443,0.0186,0.019,0.1267,0.05834,0.0011572044,0.1151,0.0097,0.019549999999999998,0.10196666666666666,0.10643,0.005546428099999999,0.2526,0.0276,0.03615,0.20996666666666663,0.06310999999999999,0.0020238889,0.1443,0.0186,0.019,0.1267,0.05834,0.0011572044,0.1151,0.0097,0.019549999999999998,0.10196666666666666,0.10643,0.005546428099999999,0.2526,0.0276,0.03615,0.20996666666666663
1493735889989.0,0.06181000000000001,0.0018193289000000006,0.17,0.0215,0.0283,0.1155,0.09144999999999999,0.0011022445,0.1457,0.0369,0.04815,0.1326,0.11537,0.0024291321,0.2335,0.0606,0.0685,0.17736666666666667,-0.0012999999999999748,-0.00020455999999999946,0.0257,0.0029,0.0093,-0.011200000000000002,0.03310999999999999,-5.4959899999999914e-05,0.030600000000000002,0.027200000000000002,0.0286,0.030633333333333332,0.008940000000000003,-0.0031172959999999986,-0.019099999999999978,0.033,0.032350000000000004,-0.03259999999999996
1493735899995.0,0.032869999999999996,0.0003616121,0.0638,0.0106,0.01125,0.05806666666666666,0.037290000000000004,0.00029237489999999996,0.0769,0.018000000000000002,0.01885,0.059666666666666666,0.06139,0.0010434328999999998,0.1354,0.0303,0.033350000000000005,0.10426666666666666,-0.028940000000000014,-0.0014577168000000007,-0.10620000000000002,-0.010899999999999998,-0.01705,-0.05743333333333334,-0.054159999999999986,-0.0008098696,-0.0688,-0.0189,-0.0293,-0.07293333333333332,-0.05398,-0.0013856992000000003,-0.09810000000000002,-0.0303,-0.03515,-0.07310000000000001
1493735909974.0,0.03,0.0009408560000000001,0.0825,0.0056,0.0063999999999999994,0.07529999999999999,0.04693,0.0029628961,0.1776,0.0079,0.00835,0.12176666666666668,0.07699000000000002,0.0070071509,0.2625,0.0178,0.0185,0.1878666666666667,-0.0028699999999999976,0.0005792439000000001,0.01870000000000001,-0.005,-0.00485,0.01723333333333333,0.009639999999999996,0.0026705212,0.10070000000000001,-0.010100000000000001,-0.010499999999999999,0.06210000000000001,0.015600000000000017,0.005963718,0.12710000000000002,-0.0125,-0.014850000000000006,0.08360000000000005
1493735919979.0,0.07676000000000001,0.033295980399999994,0.6228,0.0056,0.00685,0.23293333333333335,0.050409999999999996,0.0049343949,0.19899999999999998,0.0094,0.0098,0.13733333333333334,0.09190000000000001,0.02090468,0.4967,0.0173,0.01915,0.24619999999999997,0.04676000000000001,0.0323551244,0.5403,0.0,0.00045000000000000075,0.15763333333333335,0.003479999999999997,0.0019714987999999998,0.021399999999999975,0.0014999999999999996,0.00145,0.01556666666666666,0.014909999999999993,0.013897529099999998,0.23419999999999996,-0.0005000000000000004,0.0006500000000000013,0.058333333333333265
1493735963981.0,0.07989,0.0023925029000000002,0.1883,0.0283,0.03075,0.14026666666666668,0.08954000000000001,0.0024023064000000005,0.1824,0.0136,0.02905,0.15286666666666668,0.17328000000000002,0.015296853599999998,0.4876,0.0302,0.0499,0.32306666666666667,0.003129999999999994,-0.030903477499999995,-0.4345,0.022699999999999998,0.023899999999999998,-0.09266666666666667,0.03913000000000001,-0.0025320884999999994,-0.016599999999999976,0.004199999999999999,0.01925,0.015533333333333343,0.08138000000000001,-0.0056078264,-0.009099999999999997,0.012900000000000002,0.03075,0.0768666666666667
1493735972985.0,0.09487999999999999,0.0034819096000000007,0.2528,0.0344,0.038099999999999995,0.159,0.07535999999999998,0.0013902143999999998,0.1752,0.0407,0.042749999999999996,0.12046666666666665,0.15565,0.0064394464999999994,0.3479,0.0543,0.06905,0.25489999999999996,0.01498999999999999,0.0010894067000000005,0.06450000000000003,0.006100000000000001,0.007349999999999995,0.018733333333333324,-0.014180000000000026,-0.0010120920000000007,-0.007200000000000012,0.0271,0.013699999999999997,-0.032400000000000026,-0.017630000000000007,-0.008857407099999999,-0.1397,0.0241,0.01915,-0.06816666666666671
1493735982991.0,0.11612,0.003756455599999999,0.2339,0.0268,0.04315,0.1908,0.18058,0.012869503600000002,0.4076,0.0585,0.06655,0.3276333333333333,0.15294000000000002,0.0035433663999999998,0.2537,0.045,0.06914999999999999,0.22616666666666663,0.02124000000000001,0.00027454599999999834,-0.018900000000000028,-0.007599999999999999,0.005050000000000006,0.031799999999999995,0.10522000000000001,0.011479289200000003,0.23240000000000002,0.017800000000000003,0.0238,0.2071666666666666,-0.00270999999999999,-0.0028960800999999997,-0.0942,-0.009300000000000003,9.999999999998899e-05,-0.028733333333333333
1493735992999.0,0.27893,0.0219255581,0.4561,0.0434,0.04575,0.44743333333333335,0.27692,0.015970633600000003,0.4345,0.0091,0.0759,0.40263333333333334,0.17099999999999999,0.008340462000000002,0.3665,0.0529,0.055099999999999996,0.2828,0.16281,0.0181691025,0.2222,0.0166,0.002599999999999998,0.2566333333333334,0.09634000000000001,0.0031011300000000006,0.02689999999999998,-0.0494,0.009349999999999997,0.07500000000000007,0.018059999999999965,0.004797095600000002,0.11280000000000001,0.007900000000000004,-0.014049999999999993,0.05663333333333337
1493736002977.0,0.28409,0.013142994900000001,0.5913,0.1689,0.1728,0.4157,0.27464,0.009178666399999999,0.3607,0.0837,0.09365,0.35623333333333335,0.23571,0.014454450899999999,0.3897,0.0775,0.08515,0.3737333333333333,0.005159999999999998,-0.008782563199999998,0.13520000000000004,0.1255,0.12705,-0.031733333333333336,-0.0022800000000000042,-0.006791967200000004,-0.07379999999999998,0.0746,0.017750000000000002,-0.0464,0.06471000000000002,0.006113988899999997,0.0232,0.024599999999999997,0.030050000000000007,0.09093333333333331
